backtest_date,symbol,entry_date,entry_price,exit_date,exit_price,pct_gain,outcome,hold_days,score,years_window,min_score,take_profit_pct,stop_loss_pct
2026-03-03,HD,2025-03-14,351.655,2025-08-14,401.23,14.1,TP,153,4,3,3,0.1500,0.0700
2026-03-03,HD,2025-10-08,382.9,2025-11-19,340.97,-10.95,SL,42,3,3,3,0.1500,0.0700
2026-03-03,HD,2025-11-19,336.0,2026-01-27,385.73,14.8,TP,69,4,3,3,0.1500,0.0700
2026-03-03,NVS,2024-02-13,99.04,2024-08-19,115.07,16.19,TP,188,3,3,3,0.1500,0.0700
2026-03-03,NVS,2024-10-31,109.86,2024-12-05,102.71,-6.51,SL,35,3,3,3,0.1500,0.0700
2026-03-03,NVS,2024-12-11,98.99,2025-03-10,115.435,16.61,TP,89,3,3,3,0.1500,0.0700
2026-03-03,NVS,2025-04-07,105.39,2025-07-02,123.59,17.27,TP,86,3,3,3,0.1500,0.0700
2026-03-03,NVS,2025-10-29,122.65,2026-01-07,141.67,15.51,TP,70,3,3,3,0.1500,0.0700
2026-03-03,ASML,2023-08-17,645.02,2023-09-18,588.18,-8.81,SL,32,3,3,3,0.1500,0.0700
2026-03-03,ASML,2023-09-18,596.04,2023-11-20,685.32,14.98,TP,63,4,3,3,0.1500,0.0700
2026-03-03,ASML,2024-07-18,915.23,2024-08-05,775.0,-15.32,SL,18,3,3,3,0.1500,0.0700
2026-03-03,ASML,2024-09-05,792.8,2024-10-16,710.97,-10.32,SL,41,3,3,3,0.1500,0.0700
2026-03-03,ASML,2024-10-16,692.64,2025-04-04,621.95,-10.21,SL,170,4,3,3,0.1500,0.0700
2026-03-03,ASML,2025-04-04,586.5,2025-04-10,656.165,11.88,TP,6,4,3,3,0.1500,0.0700
2026-03-03,ASML,2025-04-16,644.36,2025-05-13,745.26,15.66,TP,27,3,3,3,0.1500,0.0700
2026-03-03,ASML,2025-07-21,718.305,2025-09-16,879.94,22.5,TP,57,3,3,3,0.1500,0.0700
2026-03-03,TMO,2023-09-11,515.0,2023-10-19,472.3,-8.29,SL,38,3,3,3,0.1500,0.0700
2026-03-03,TMO,2023-10-19,469.51,2023-10-26,431.13,-8.17,SL,7,3,3,3,0.1500,0.0700
2026-03-03,TMO,2023-10-26,439.57,2023-12-14,529.54,20.47,TP,49,4,3,3,0.1500,0.0700
2026-03-03,TMO,2024-04-18,542.95,2024-11-19,495.61,-8.72,SL,215,3,3,3,0.1500,0.0700
2026-03-03,TMO,2024-11-19,504.34,2025-01-28,595.6,18.09,TP,70,3,3,3,0.1500,0.0700
2026-03-03,TMO,2025-02-14,531.0,2025-04-02,480.02,-9.6,SL,47,3,3,3,0.1500,0.0700
2026-03-03,TMO,2025-04-02,481.89,2025-04-07,417.77,-13.31,SL,5,3,3,3,0.1500,0.0700
2026-03-03,TMO,2025-04-07,451.16,2025-04-09,417.76,-7.4,SL,2,4,3,3,0.1500,0.0700
2026-03-03,TMO,2025-04-09,448.6,2025-05-07,410.25,-8.55,SL,28,3,3,3,0.1500,0.0700
2026-03-03,TMO,2025-05-07,408.0,2025-07-25,478.035,17.17,TP,79,3,3,3,0.1500,0.0700
2026-03-03,TMO,2026-02-05,544.43,2026-02-17,502.585,-7.69,SL,12,3,3,3,0.1500,0.0700
2026-03-03,TMO,2026-02-17,502.18,2026-03-02,508.58,1.27,OPEN,13,3,3,3,0.1500,0.0700
2026-03-03,COST,2025-01-02,914.33,2025-02-11,1059.91,15.92,TP,40,3,3,3,0.1500,0.0700
2026-03-03,COST,2025-03-10,931.0,2025-12-16,857.435,-7.9,SL,281,3,3,3,0.1500,0.0700
2026-03-03,COST,2025-12-16,858.5,2026-02-06,988.15,15.1,TP,52,3,3,3,0.1500,0.0700
2026-03-03,ISRG,2023-08-08,302.87,2023-10-13,266.83,-11.9,SL,66,3,3,3,0.1500,0.0700
2026-03-03,ISRG,2023-10-20,268.5,2023-11-21,311.0,15.83,TP,32,3,3,3,0.1500,0.0700
2026-03-03,ISRG,2025-03-07,503.91,2025-04-07,430.97,-14.47,SL,31,3,3,3,0.1500,0.0700
2026-03-03,ISRG,2025-04-08,450.0,2025-04-10,509.0,13.11,TP,2,3,3,3,0.1500,0.0700
2026-03-03,ISRG,2025-06-13,514.0,2025-08-06,477.04,-7.19,SL,54,3,3,3,0.1500,0.0700
2026-03-03,ISRG,2025-08-06,478.42,2025-09-04,440.69,-7.89,SL,29,4,3,3,0.1500,0.0700
2026-03-03,ISRG,2025-09-15,433.65,2025-10-23,525.37,21.15,TP,38,4,3,3,0.1500,0.0700
2026-03-03,ISRG,2026-01-29,506.7,2026-03-02,496.25,-2.06,OPEN,32,3,3,3,0.1500,0.0700
