date,time,symbol,dip_score,is_dip,fund_pass,price,ma50,ma200,rsi,week52_pct,fcf_usd,fcf_yield_pct,profit_margin_pct,debt_to_equity,roe_pct,pe,price_source,fail_reasons
2026-03-09,11:24:35,ASML,1,False,True,1312.71,1424.49,1195.24,40.6,77,,,,,,,IBKR,
2026-03-09,11:24:35,TMO,2,False,True,499.67,515.32,567.85,32.0,44,6927000000,,13.99,,12.1,,IBKR,
2026-03-09,11:24:35,COST,0,False,False,1002.00,996.11,932.32,55.9,75,6745000000,1.52,2.60,1.96,26.6,70.6,IBKR,PE=70.6 > MAX_PE_RATIO=60.0; profitMargin=2.6% < MIN=5.0%; FCF grew in fewer than 2 of last 3 year(s)
2026-03-09,11:24:35,ISRG,1,False,False,485.31,495.80,533.56,38.3,34,1660100000,0.96,25.24,0.13,10.9,96.3,IBKR,PE=96.3 > MAX_PE_RATIO=60.0; FCF yield=0.96% < MIN=1.50%
2026-03-09,11:37:07,NVDA,1,False,False,179.02,185.84,185.74,43.9,75,28012399000,0.64,272.58,1.46,134.7,147.2,UP,0.701,HIGH,True,IBKR,PE=147.2 > MAX_PE_RATIO=60.0; FCF yield=0.64% < MIN=1.50%
2026-03-09,11:37:07,TSLA,2,False,False,387.24,408.98,434.13,37.2,62,4357000000,0.35,15.50,0.66,20.6,83.0,UP,0.563,MEDIUM,True,IBKR,PE=83.0 > MAX_PE_RATIO=60.0; FCF yield=0.35% < MIN=1.50%; Capex/FCF=204.25% > MAX=75.00%
2026-03-09,11:37:07,BAC,3,True,False,47.20,51.42,52.79,29.6,58,44982000000,12.52,25.60,10.86,9.6,13.7,UP,0.541,LOW,False,IBKR,ROE=9.6% < MIN=10.0%
2026-03-09,11:37:07,MSFT,1,False,True,408.35,401.22,466.49,47.2,30,59475000000,1.95,34.15,1.18,35.1,42.1,DOWN,0.669,HIGH,False,IBKR,
2026-03-09,11:37:07,XOM,0,False,True,152.55,150.47,126.54,61.6,97,33450000000,5.37,14.09,0.69,13.7,17.3,DOWN,0.799,HIGH,False,IBKR,
2026-03-09,11:37:07,TSM,1,False,True,338.36,364.45,316.69,40.7,80,,,,,,,UP,0.718,HIGH,True,IBKR,
2026-03-09,11:37:07,AVGO,1,False,False,338.92,329.90,347.58,56.0,73,17633000000,1.11,32.09,3.68,43.1,138.2,UP,0.540,LOW,False,IBKR,PE=138.2 > MAX_PE_RATIO=60.0; D/E=3.68 > MAX=3.0 (non-financial); FCF yield=1.11% < MIN=1.50%
2026-03-09,11:37:07,NOW,2,False,False,123.07,108.79,147.58,60.2,21,2704000000,2.13,19.30,2.14,34.4,73.5,UP,0.659,HIGH,True,IBKR,PE=73.5 > MAX_PE_RATIO=60.0
2026-03-09,11:37:07,WFC,3,True,True,77.55,85.72,87.94,30.4,49,40358000000,13.57,21.66,9.76,10.7,15.5,UP,0.687,HIGH,True,IBKR,
2026-03-09,11:37:07,CSCO,1,False,True,75.54,79.46,76.21,40.8,67,19037000000,6.29,22.13,1.99,31.7,24.0,UP,0.842,HIGH,True,IBKR,
2026-03-09,11:37:07,SAP,2,False,True,200.21,201.53,235.66,44.2,4,,,,,,,DOWN,0.586,MEDIUM,False,IBKR,
2026-03-09,11:37:07,PG,0,False,True,154.95,160.12,148.91,45.3,52,13786000000,,17.87,1.53,31.3,,UP,0.520,LOW,False,IBKR,
2026-03-09,11:37:07,HIMS,2,False,False,22.23,16.42,33.16,59.2,15,70100000,,-2.70,0.74,-7.6,,UP,0.769,HIGH,True,IBKR,profitMargin=-2.7% < MIN=5.0%; ROE=-7.6% < MIN=10.0%
2026-03-09,11:37:07,RTX,0,False,False,208.97,202.46,185.07,58.9,97,5468000000,1909.88,4.64,1.68,5.3,0.1,DOWN,0.587,MEDIUM,False,IBKR,profitMargin=4.6% < MIN=5.0%; ROE=5.3% < MIN=10.0%
2026-03-09,11:37:07,MRK,0,False,False,116.12,120.25,103.57,45.9,85,9143000000,,0.61,,0.8,,UP,0.500,LOW,False,IBKR,profitMargin=0.6% < MIN=5.0%; FCF grew in fewer than 2 of last 3 year(s); ROE=0.8% < MIN=10.0%
2026-03-09,11:37:07,UNH,2,False,True,283.81,283.81,318.75,44.7,15,25682000000,9.89,6.02,6.92,79.1,11.6,UP,0.729,HIGH,True,IBKR,
2026-03-09,11:37:07,IBM,1,False,False,253.13,254.47,289.96,44.6,38,12686000000,5.35,12.13,4.02,27.5,31.6,UP,0.695,HIGH,True,IBKR,D/E=4.02 > MAX=3.0 (non-financial); FCF grew in fewer than 2 of last 3 year(s)
2026-03-09,11:37:07,AXP,3,True,True,296.82,329.07,355.75,28.4,43,16996000000,8.16,22.50,9.76,33.9,24.9,UP,0.740,HIGH,True,IBKR,
2026-03-09,11:37:07,V,2,False,True,311.81,318.73,333.42,39.1,9,20659000000,,52.90,2.21,69.1,,UP,0.873,HIGH,True,IBKR,
2026-03-09,11:37:07,JNJ,0,False,False,242.30,243.14,211.89,57.2,94,18248000000,,41.28,1.41,45.8,,UP,0.511,LOW,False,IBKR,FCF grew in fewer than 2 of last 3 year(s)
2026-03-09,11:37:07,GE,0,False,False,314.12,329.75,309.38,42.0,83,3610000000,1.07,134.61,5.35,49.0,35.6,UP,0.560,MEDIUM,True,IBKR,D/E=5.35 > MAX=3.0 (non-financial); FCF yield=1.07% < MIN=1.50%; FCF grew in fewer than 2 of last 3 year(s)
2026-03-09,11:37:07,PEP,0,False,False,160.81,164.32,149.54,50.1,82,7924000000,,9.92,4.51,50.3,,DOWN,0.699,HIGH,False,IBKR,D/E=4.51 > MAX=3.0 (non-financial)
2026-03-09,11:37:07,HSBC,0,False,True,83.93,88.23,78.14,42.6,78,,,,,,,UP,0.687,HIGH,True,IBKR,
2026-03-09,11:37:07,TMUS,0,False,False,219.47,214.90,205.30,61.6,45,8758000000,3.49,10.59,0.09,11.9,30.2,DOWN,0.638,MEDIUM,False,IBKR,Capex/FCF=111.91% > MAX=75.00%
2026-03-09,11:37:07,MA,1,False,False,512.24,520.92,547.14,41.5,29,11609000000,,7.63,6.41,29.4,,UP,0.679,HIGH,True,IBKR,D/E=6.41 > MAX=3.0 (non-financial)
2026-03-09,11:37:07,HD,4,True,False,349.46,376.94,367.54,31.7,22,11496000000,3.24,10.87,48.33,1095.1,20.8,UP,0.800,HIGH,True,IBKR,D/E=48.33 > MAX=3.0 (non-financial); FCF grew in fewer than 2 of last 3 year(s)
